K_attractivité1,RMSD_dist,RMSD_angle
0.500000,0.291861,64.351341
0.530000,0.293145,64.341266
0.560000,0.292363,64.341325
0.590000,0.291898,64.355844
0.620000,0.294973,63.867030
0.650000,0.276773,48.698538
0.680000,0.266505,44.974002
0.710000,0.254631,41.083927
0.740000,0.246676,38.698162
0.770000,0.231790,36.295061
0.800000,0.222519,33.613413
0.830000,0.219819,32.046771
0.860000,0.207789,30.613820
0.890000,0.198352,29.110519
0.920000,0.189215,27.817940
0.950000,0.186072,26.926465
0.980000,0.174690,25.733162
1.010000,0.164622,25.947093
1.040000,0.160688,24.963562
1.070000,0.160019,23.368563
1.100000,0.147098,23.561881
1.130000,0.150064,22.494206
1.160000,0.144373,21.866048
1.190000,0.140583,21.130617
1.220000,0.136081,21.444264
1.250000,0.133206,21.802679
1.280000,0.130586,21.364123
1.310000,0.127275,20.914935
1.340000,0.125345,20.764824
1.370000,0.125535,20.840228
1.400000,0.136548,20.297378
1.430000,0.137499,20.460211
1.460000,0.131018,20.458319
1.490000,0.134060,20.490966
1.520000,0.135031,20.573635
1.550000,0.140536,21.181348
1.580000,0.147201,20.733989
1.610000,0.145935,20.461623
1.640000,0.152483,21.133774
1.670000,0.146890,21.447215
1.700000,0.153737,20.963137
1.730000,0.152802,22.041464
1.760000,0.156719,22.221007
1.790000,0.160179,22.022639
1.820000,0.177064,21.353206
1.850000,0.174127,22.295255
1.880000,0.179335,22.328124
1.910000,0.182159,22.346148
1.940000,0.188553,22.677434
1.970000,0.190476,22.893763
2.000000,0.195444,23.213417
