K_attractivité1,RMSD_dist,RMSD_angle
0.500000,0.192137,26.658165
0.530000,0.191789,26.040041
0.560000,0.188389,25.391061
0.590000,0.182165,25.374517
0.620000,0.175380,24.718861
0.650000,0.170976,24.451829
0.680000,0.173671,24.025580
0.710000,0.158752,23.935385
0.740000,0.166043,23.554099
0.770000,0.157015,23.116815
0.800000,0.157100,23.093360
0.830000,0.157206,22.632391
0.860000,0.151349,22.830986
0.890000,0.147847,22.659801
0.920000,0.151246,22.183740
0.950000,0.141622,22.097990
0.980000,0.144335,21.743557
1.010000,0.143366,21.613302
1.040000,0.141579,21.550269
1.070000,0.138408,21.395175
1.100000,0.137881,21.351399
1.130000,0.132371,21.256487
1.160000,0.129023,21.192409
1.190000,0.124488,21.099486
1.220000,0.136604,19.880859
1.250000,0.131941,20.633689
1.280000,0.123668,21.064528
1.310000,0.129132,20.542146
1.340000,0.120900,20.341438
1.370000,0.125481,20.413838
1.400000,0.124850,20.262824
1.430000,0.119196,20.583483
1.460000,0.123811,20.090963
1.490000,0.122583,20.032743
1.520000,0.113835,20.032803
1.550000,0.107492,20.134459
1.580000,0.110650,19.843252
1.610000,0.118038,19.543549
1.640000,0.117012,19.531704
1.670000,0.115139,19.800298
1.700000,0.106325,19.687590
1.730000,0.112235,19.960366
1.760000,0.107260,19.043006
1.790000,0.105897,19.650144
1.820000,0.100845,19.356378
1.850000,0.114879,19.055277
1.880000,0.107669,18.013958
1.910000,0.100777,20.215632
1.940000,0.102437,18.990188
1.970000,0.103035,18.803184
2.000000,0.099834,19.152025
